Linux,24,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,sequential iterations,sequential time,sequential stdev,sequential min,sequential max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,138082564,5404594,131055263,144199526,3,10088063,355668,9767148,10583946,13.687
1e,3,29995084,1819201,28420061,32544332,3,2226187,146271,2084884,2427673,13.473
1d,3,6450500,275808,6081006,6743464,3,572749,128433,455248,751448,11.262
1c,3,2078629,15942,2057152,2095306,3,225980,91382,157969,355154,9.198
1b,3,157370,32490,111527,182977,3,73542,66057,16492,166131,2.139
1a,3,6050,4641,1636,12464,3,5974,5349,1713,13518,1.012
2f,3,468053337,16953489,455039220,491999023,3,33666999,325267,33286798,34081339,13.902
2e,3,68451391,1357730,66533719,69494169,3,5305479,290081,5088283,5715474,12.902
2d,3,8363494,534864,7884463,9109977,3,811046,144487,677946,1011865,10.311
2c,3,715544,57923,670293,797304,3,133646,87302,69708,257083,5.354
2b,3,37719,11832,22561,51437,3,33579,16661,16616,56223,1.123
2a,3,5948,6198,1419,14712,3,8322,7460,2916,18871,0.714
