os,core,cpu
Linux,4,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,sequential iterations,sequential time,sequential stdev,sequential min,sequential max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,126766792,6700790,119974810,135885772,3,55655692,638390,54813212,56357971,2.277
1e,3,28559303,1707652,27240792,30970774,3,12851746,271201,12578181,13221330,2.222
1d,3,6078476,344361,5686514,6524758,3,2651787,334868,2376934,3123199,2.292
1c,3,1929960,140257,1732610,2045891,3,932687,130909,830402,1117467,2.069
1b,3,159255,33490,127637,205603,3,107626,75436,50556,214220,1.479
1a,3,7397,4642,3395,13904,3,7701,4807,3513,14432,0.960
2f,3,442852807,19627432,424271792,470001466,3,185526449,1698425,183134835,186914894,2.387
2e,3,64833161,2170690,63202259,67900935,3,29028705,316687,28681118,29447086,2.233
2d,3,8730954,975743,7770856,10069356,3,3901096,121512,3730531,4004501,2.238
2c,3,706395,72378,629264,803236,3,402321,126652,304540,581174,1.755
2b,3,45576,22955,20124,75753,3,47757,28257,23598,87403,0.954
2a,3,10326,8703,3590,22615,3,13341,9699,3129,26377,0.774
