Sequential with 10 iterations on Linux with 4 x Intel(R) Xeon(R) CPU @ 2.20GHz
1f,=1*60*1000+57*1000+6,=982,=1*60*1000+55*1000+747,=1*60*1000+58*1000+562
1e,=26*1000+930,=260,=26*1000+594,=27*1000+498
1d,=5*1000+722,=60,=5*1000+639,=5*1000+827
1c,=1*1000+926,=13,=1*1000+905,=1*1000+946
1b,=189,=7,=181,=205
1a,=14,=1,=13,=19
2f,=7*60*1000+6*1000+845,=3*1000+878,=6*60*1000+58*1000+611,=7*60*1000+10*1000+688
2e,=1*60*1000+3*1000+266,=448,=1*60*1000+2*1000+540,=1*60*1000+3*1000+931
2d,=8*1000+555,=60,=8*1000+454,=8*1000+627
2c,=780,=14,=759,=808
2b,=65,=8,=56,=78
2a,=17,=0,=17,=18
Parallel with 10 iterations on Linux with 4 x Intel(R) Xeon(R) CPU @ 2.20GHz
1f,=49*1000+782,=655,=49*1000+120,=51*1000+486
1e,=11*1000+818,=185,=11*1000+479,=12*1000+126
1d,=2*1000+851,=77,=2*1000+733,=3*1000+20
1c,=1*1000+78,=21,=1*1000+49,=1*1000+120
1b,=233,=6,=220,=241
1a,=17,=1,=16,=21
2f,=2*60*1000+49*1000+39,=3*1000+68,=2*60*1000+45*1000+208,=2*60*1000+53*1000+804
2e,=26*1000+506,=508,=25*1000+684,=27*1000+206
2d,=3*1000+790,=41,=3*1000+741,=3*1000+890
2c,=544,=18,=519,=582
2b,=90,=4,=82,=98
2a,=27,=1,=25,=29
